!CSV A.01.01
!Agilent Technologies,N5224A,MY51441013,A.09.40.06
!Agilent N5224A: A.09.40.06
!Date: Monday, July 02, 2018 12:04:30
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG)
10000000,-42.393665,20.146717
10500000,-42.843468,20.457417
11000000,-43.197632,18.770363
11500000,-42.962929,19.545382
12000000,-42.499168,17.0299
12500000,-42.1208,20.486837
13000000,-42.446804,20.918335
13500000,-42.724461,22.88982
14000000,-43.042278,22.120853
14500000,-42.6222,24.708572
15000000,-42.736691,22.565502
15500000,-42.054321,22.27644
16000000,-42.149109,21.753284
16500000,-42.322685,27.580017
17000000,-42.171841,24.291719
17500000,-42.089127,23.563766
18000000,-41.704239,25.396656
18500000,-41.963028,25.409714
19000000,-41.937119,27.109182
19500000,-41.760273,22.74065
20000000,-41.906944,25.840948
20500000,-41.595051,24.743471
21000000,-41.909538,25.454918
21500000,-41.57048,26.379795
22000000,-41.455658,28.312622
22500000,-41.440338,27.655096
23000000,-41.21204,28.639343
23500000,-41.613678,27.380714
24000000,-41.557671,27.528475
24500000,-41.046459,29.351406
25000000,-41.281784,28.532604
25500000,-41.620148,29.787312
26000000,-41.371586,30.526295
26500000,-40.992321,29.318741
27000000,-41.166462,29.868629
27500000,-41.051701,29.899389
28000000,-40.947647,29.878267
28500000,-40.923126,30.770504
29000000,-41.11388,31.065535
29500000,-40.946354,30.482893
30000000,-40.70734,33.105652
30500000,-40.925247,30.486403
31000000,-40.818306,32.896015
31500000,-40.960152,33.118572
32000000,-40.760174,32.879539
32500000,-40.646042,32.933479
33000000,-40.502087,33.937035
33500000,-40.670341,31.908663
34000000,-40.622444,34.862392
34500000,-40.566525,33.979324
35000000,-40.454479,34.859638
35500000,-40.328472,34.539318
36000000,-40.30632,34.952354
36500000,-40.445576,35.834473
37000000,-40.154446,35.522648
37500000,-40.098434,36.561207
38000000,-40.325359,36.143528
38500000,-40.128452,35.813145
39000000,-40.110561,36.245514
39500000,-39.946861,36.070839
40000000,-40.139568,37.296875
40500000,-39.846104,38.131069
41000000,-39.77071,37.589241
41500000,-39.835907,36.957073
42000000,-39.98568,37.389492
42500000,-39.634663,38.792149
43000000,-39.669415,38.2369
43500000,-39.646202,39.13541
44000000,-39.582123,39.158577
44500000,-39.44162,38.600441
45000000,-39.419323,38.706341
45500000,-39.4781,40.596737
46000000,-39.372383,39.753117
46500000,-39.410351,40.146584
47000000,-39.377941,39.568607
47500000,-39.263721,40.21447
48000000,-39.250458,40.122841
48500000,-39.154728,40.131714
49000000,-39.08675,41.083382
49500000,-38.92461,40.34005
50000000,-38.988266,41.234318
50500000,-38.912441,41.132488
51000000,-38.840015,41.462849
51500000,-38.999249,41.051201
52000000,-38.883892,41.0042
52500000,-38.906216,41.658363
53000000,-38.723671,41.869446
53500000,-38.75708,44.047874
54000000,-38.633873,41.441376
54500000,-38.67976,43.947975
55000000,-38.451447,41.377792
55500000,-38.47377,44.326675
56000000,-38.319469,42.672947
56500000,-38.554138,42.714294
57000000,-38.513214,42.082981
57500000,-38.335964,42.984165
58000000,-38.23061,43.114902
58500000,-38.246635,43.613689
59000000,-38.269165,43.658829
59500000,-38.151085,44.496021
60000000,-38.153706,46.210243
60500000,-37.91172,44.254868
61000000,-38.079922,44.236614
61500000,-37.96632,44.050758
62000000,-37.9818,44.699081
62500000,-37.903408,45.815937
63000000,-37.779301,46.324688
63500000,-37.804066,44.225487
64000000,-38.018017,45.276016
64500000,-37.552147,44.911514
65000000,-37.786835,44.617882
65500000,-37.617558,44.666752
66000000,-37.803947,44.70927
66500000,-37.414204,45.410027
67000000,-37.542599,45.712822
67500000,-37.436481,44.875332
68000000,-37.355873,46.064045
68500000,-37.59129,46.271809
69000000,-37.34354,45.711025
69500000,-37.116417,46.6619
70000000,-37.293781,46.53035
70500000,-37.140949,45.458263
71000000,-37.319489,46.663773
71500000,-37.080772,47.243206
72000000,-37.101616,46.002136
72500000,-37.131733,46.98764
73000000,-37.104458,46.905186
73500000,-37.088997,47.458527
74000000,-36.966717,47.675678
74500000,-37.025112,47.655605
75000000,-36.881565,47.478752
75500000,-36.950558,47.89658
76000000,-36.657814,47.410213
76500000,-36.851948,47.977554
77000000,-36.851578,47.552616
77500000,-36.714478,48.407288
78000000,-36.559345,48.380722
78500000,-36.606167,48.062637
79000000,-36.535618,48.257538
79500000,-36.6479,48.05875
80000000,-36.671482,48.018551
80500000,-36.669697,47.991844
81000000,-36.534725,47.974728
81500000,-36.575825,48.104099
82000000,-36.401966,48.510437
82500000,-36.372696,48.992134
83000000,-36.279724,50.192009
83500000,-36.271843,48.662971
84000000,-36.250881,48.514385
84500000,-36.229317,48.595627
85000000,-36.247952,49.538074
85500000,-36.110134,48.857357
86000000,-36.115582,48.622196
86500000,-36.142673,49.538452
87000000,-36.12006,49.092411
87500000,-36.050014,49.518543
88000000,-35.972588,50.006218
88500000,-35.85899,49.74984
89000000,-35.818676,48.687794
89500000,-35.996899,48.926628
90000000,-35.913933,49.341572
90500000,-35.844265,50.282925
91000000,-35.818119,49.324062
91500000,-35.908684,49.349182
92000000,-35.718376,49.642483
92500000,-35.722977,49.455467
93000000,-35.691372,49.889156
93500000,-35.68993,49.70327
94000000,-35.590073,50.279377
94500000,-35.525116,49.656788
95000000,-35.51968,49.782497
95500000,-35.433781,50.082443
96000000,-35.441853,50.246815
96500000,-35.465744,50.141846
97000000,-35.450401,50.105576
97500000,-35.391582,50.246414
98000000,-35.33437,50.664043
98500000,-35.333786,49.997776
99000000,-35.23103,51.250763
99500000,-35.209339,50.131985
100000000,-35.168224,50.386551
100500000,-35.193478,50.458858
101000000,-35.19994,50.388451
101500000,-35.135353,50.549816
102000000,-35.144749,50.634792
102500000,-35.050919,51.101589
103000000,-35.052551,50.650509
103500000,-35.004585,50.544895
104000000,-35.108673,50.917332
104500000,-34.9501,50.843731
105000000,-34.920952,50.678535
105500000,-34.850838,50.61726
106000000,-34.918659,50.87019
106500000,-34.891945,51.086834
107000000,-34.825077,50.788273
107500000,-34.758671,51.017254
108000000,-34.76823,51.159454
108500000,-34.718613,51.195152
109000000,-34.70689,51.124393
109500000,-34.628929,51.27412
110000000,-34.608959,51.088734
END

