!CSV A.01.01
!Agilent Technologies,N5224A,MY51441013,A.09.40.06
!Agilent N5224A: A.09.40.06
!Date: Monday, July 02, 2018 12:06:17
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG)
10000000,0.0014033958,-17.918617
10500000,0.0033758187,-18.78511
11000000,0.00053416769,-19.678047
11500000,0.0009538157,-20.541414
12000000,-0.0027683976,-21.470901
12500000,-0.00069475325,-22.291348
13000000,-0.001999428,-23.220375
13500000,-0.0071660238,-24.009989
14000000,-0.0027854608,-24.912542
14500000,0.0040248847,-25.772053
15000000,0.0043060556,-26.638964
15500000,-0.0043906807,-27.499584
16000000,-0.0014334248,-28.334225
16500000,-0.0033582263,-29.244593
17000000,0.0019869318,-30.10173
17500000,0.0050652861,-30.916571
18000000,0.002155409,-31.79167
18500000,-0.0014787221,-32.662987
19000000,-0.00022238554,-33.491352
19500000,-0.0012873218,-34.286678
20000000,-0.0024073496,-35.159882
20500000,0.00082142401,-35.994736
21000000,0.0023321267,-36.840424
21500000,0.00077060587,-37.661442
22000000,-0.0043276818,-38.518574
22500000,-0.0022792362,-39.327923
23000000,-0.0058453158,-40.146694
23500000,-0.0047934446,-40.961246
24000000,-0.0037636701,-41.764473
24500000,-0.0036862341,-42.569805
25000000,-0.002317149,-43.392105
25500000,-0.0068069361,-44.199005
26000000,-0.0037429626,-44.981396
26500000,-0.0052802204,-45.737858
27000000,-0.0029849354,-46.547905
27500000,-0.0050727124,-47.331318
28000000,-0.0052779457,-48.103203
28500000,-0.0054086843,-48.870495
29000000,-0.0075579961,-49.628185
29500000,-0.0070384559,-50.419655
30000000,-0.0048749619,-51.213116
30500000,-0.010889527,-51.979683
31000000,-0.010564485,-52.718117
31500000,-0.0075511369,-53.472866
32000000,-0.0041815322,-54.243786
32500000,-0.0048552002,-54.947926
33000000,-0.0084950058,-55.714367
33500000,-0.0071604629,-56.453789
34000000,-0.010880362,-57.209064
34500000,-0.008762842,-57.926876
35000000,-0.010503602,-58.670261
35500000,-0.010824103,-59.371037
36000000,-0.0083343852,-60.099949
36500000,-0.011630396,-60.829639
37000000,-0.010926067,-61.513832
37500000,-0.013638247,-62.209732
38000000,-0.011932326,-62.94796
38500000,-0.010504468,-63.640785
