F/MHz,S11 (dB),S11 (deg),S21 (dB),S21 (deg),S22 (dB),S22 (deg)
10,-43.94833218,4.14725248,-0.068721543,-16.56259741,-40.23538005,-23.79223333
10.495,-44.1974956,-2.150035104,-0.070891185,-17.37644876,-39.75310134,-22.00079322
10.99,-42.82948437,-0.780003063,-0.073639456,-18.18341595,-38.99370125,-29.88722629
11.485,-43.28474184,-7.948803026,-0.077478074,-18.97688115,-38.74619452,-26.7470875
11.98,-42.63275131,-10.29395479,-0.076679229,-19.78054901,-38.860634,-30.48686227
12.475,-42.4142335,-12.59992921,-0.081374621,-20.59829607,-39.06676085,-32.86791456
12.97,-42.42354908,-15.83990172,-0.081324144,-21.39422888,-38.46326381,-34.90561619
13.465,-42.06634717,-16.12015126,-0.080377204,-22.19667798,-38.53242199,-37.53002834
13.96,-41.73666179,-21.45994043,-0.084195406,-23.00093876,-38.09058307,-39.99005891
14.455,-41.44170887,-20.96211286,-0.086352741,-23.78313924,-38.08923301,-42.50679566
14.95,-41.75026229,-23.43939302,-0.085852073,-24.58966551,-37.65313531,-45.41806121
15.445,-41.01103625,-27.23909031,-0.087319307,-25.39888047,-37.92581742,-45.75838419
15.94,-40.81221948,-29.52378471,-0.089021143,-26.20862905,-37.04959963,-48.45240562
16.435,-40.37329324,-31.22196565,-0.089637801,-27.00457171,-37.61786072,-50.41707546
16.93,-40.37122609,-31.806399,-0.091130595,-27.81500662,-37.0486736,-51.56112002
17.425,-40.32918481,-35.9878161,-0.091357136,-28.61461092,-37.32631817,-53.05602835
17.92,-39.9164945,-36.78561042,-0.093932827,-29.40902593,-36.96979978,-55.82253898
18.415,-39.7229858,-38.05229924,-0.095709015,-30.23235953,-36.56557067,-56.24988222
18.91,-39.5114306,-41.07933016,-0.097731381,-31.0230172,-36.70584554,-58.54968356
19.405,-39.32639165,-41.23243828,-0.099228656,-31.83083654,-36.22356204,-60.02399819
19.9,-38.92272877,-42.61096805,-0.099457492,-32.63702191,-36.17462507,-62.28873424
20.395,-38.7983626,-46.08691325,-0.101178848,-33.43393951,-36.01245153,-63.87655981
20.89,-38.80204466,-47.01100157,-0.10292893,-34.23585284,-36.0806619,-66.01154134
21.385,-38.3815728,-49.25062257,-0.103805134,-35.04814828,-35.78264276,-65.99718489
21.88,-38.10485105,-50.56375311,-0.106465578,-35.84670877,-35.58160919,-69.00169288
22.375,-38.08295134,-51.6603247,-0.107759556,-36.65140512,-35.50365986,-69.07977679
22.87,-37.80948151,-52.5464115,-0.108172074,-37.44269426,-35.34144632,-71.61370869
23.365,-37.53258483,-55.16255002,-0.110082301,-38.2429723,-35.1362858,-71.68526046
23.86,-37.42068088,-56.90939,-0.111127813,-39.05823847,-35.22560082,-73.04456824
24.355,-37.35071952,-58.07253588,-0.111938814,-39.85992769,-34.88106566,-74.68000158
24.85,-37.15477808,-60.08873985,-0.11424376,-40.65037523,-34.70293212,-74.59922543
25.345,-37.02223715,-62.27764558,-0.115096996,-41.45239593,-34.91049123,-77.03815179
25.84,-36.84731738,-62.45781502,-0.116794712,-42.25696125,-34.53529322,-78.34671571
26.335,-36.77453497,-63.86026268,-0.116986472,-43.0505813,-34.63796845,-79.25843827
26.83,-36.46424724,-65.99282019,-0.118389894,-43.85965264,-34.55394005,-80.037101
27.325,-36.47935075,-67.3861184,-0.119683096,-44.65255016,-34.29268003,-81.03706427
27.82,-36.20378521,-68.85749191,-0.120251705,-45.45192909,-34.30489375,-83.29232971
28.315,-36.09646402,-70.17438388,-0.12085348,-46.25435661,-34.23546763,-82.93906434
28.81,-35.83893044,-72.52512721,-0.12322826,-47.05724788,-34.14591917,-84.97095354
29.305,-35.83197287,-73.10529208,-0.123157744,-47.85411364,-34.05730987,-86.13478917
29.8,-35.66790549,-74.14467476,-0.124338702,-48.65171159,-33.89274771,-86.60118804
30.295,-35.43132964,-76.12729953,-0.126553805,-49.44937445,-33.94801494,-87.89374763
30.79,-35.26936972,-77.12580125,-0.127017477,-50.26204566,-33.76758161,-87.98402917
31.285,-35.17005381,-78.55484589,-0.128095753,-51.05465621,-33.74485022,-89.57811166
31.78,-35.06683759,-79.70907343,-0.129712506,-51.85787358,-33.60849218,-90.73084839
32.275,-34.88376029,-80.63582747,-0.130458789,-52.65366511,-33.36012329,-92.31380174
32.77,-34.79886827,-82.52002939,-0.133080465,-53.45525386,-33.37482756,-92.90812094
33.265,-34.62430127,-83.25959548,-0.132574085,-54.26407992,-33.2318263,-92.89892042
33.76,-34.44150058,-84.93781091,-0.13410242,-55.05008995,-33.23050103,-95.76598875
34.255,-34.41859042,-86.11077823,-0.135795686,-55.85920396,-33.11428353,-95.54877595
34.75,-34.31870079,-86.70384885,-0.136316233,-56.6556073,-33.09187145,-97.27348923
35.245,-34.10096081,-88.2691331,-0.136783699,-57.4535619,-33.02269969,-98.13721287
35.74,-33.95859688,-90.07330946,-0.138452068,-58.25225429,-32.96148076,-99.21167237
36.235,-33.89954214,-91.07380513,-0.13978856,-59.05243178,-32.84069095,-100.0447497
36.73,-33.762517,-91.95766795,-0.140483118,-59.85124842,-32.82635556,-101.0083956
37.225,-33.62536861,-93.53369615,-0.142882225,-60.64584441,-32.57123878,-103.1039985
37.72,-33.53407568,-94.57175542,-0.14345442,-61.45285877,-32.65564868,-103.8061336
38.215,-33.44948007,-95.68046484,-0.144301521,-62.24739981,-32.50685358,-104.6709153
38.71,-33.32593976,-97.06350403,-0.145379076,-63.04751403,-32.47546156,-105.5354012
39.205,-33.23788373,-97.70050635,-0.14617957,-63.84910768,-32.3022033,-106.0073205
39.7,-33.04642691,-99.44436128,-0.146870007,-64.64741715,-32.29759142,-107.3047943
40.195,-32.99662379,-100.0915661,-0.148364149,-65.44496604,-32.29858383,-107.833066
40.69,-32.94210769,-101.5531524,-0.149770715,-66.24196074,-32.25119985,-109.3044104
41.185,-32.81040064,-102.5938287,-0.150739127,-67.04252327,-32.15781642,-109.9653596
41.68,-32.68087854,-103.9442909,-0.151789009,-67.85003068,-32.04692412,-111.1181557
42.175,-32.51495588,-104.87703,-0.152278996,-68.64724362,-31.94568988,-111.601403
42.67,-32.4806604,-106.1726258,-0.153699951,-69.44251829,-31.92207215,-112.6121216
43.165,-32.3710358,-107.2619317,-0.154485136,-70.24517681,-31.86032719,-114.1191384
43.66,-32.36349756,-108.4980098,-0.15473714,-71.04195116,-31.94245837,-114.4387935
44.155,-32.22349748,-109.8251232,-0.155974314,-71.84098289,-31.89414566,-115.4674324
44.65,-32.0970902,-110.4475208,-0.157181984,-72.64370967,-31.82247841,-115.6858456
45.145,-32.01884401,-111.8983727,-0.159142686,-73.44230689,-31.6995106,-117.4093336
45.64,-31.91860444,-112.7363014,-0.158967375,-74.2435275,-31.64985992,-118.1015529
46.135,-31.81250477,-113.9623152,-0.160132062,-75.04243898,-31.64265545,-118.8828104
46.63,-31.74515766,-115.3672528,-0.161527214,-75.84022111,-31.58295127,-120.1580541
47.125,-31.65027878,-116.6577984,-0.16259533,-76.63930833,-31.57432682,-120.8962293
47.62,-31.57584388,-117.4494518,-0.162402882,-77.44577283,-31.48294781,-121.4493086
48.115,-31.49417228,-118.668638,-0.163960937,-78.2395538,-31.42407358,-122.0979837
48.61,-31.39319411,-119.2859306,-0.164499453,-79.04188792,-31.46975146,-122.9356167
49.105,-31.32228524,-120.3878758,-0.165465849,-79.84133131,-31.37619222,-123.4052623
49.6,-31.23548247,-121.9749517,-0.167140053,-80.63569077,-31.35114633,-125.1567304
50.095,-31.16121452,-122.8158083,-0.167330912,-81.4351745,-31.34685484,-125.4560495
50.59,-31.10444356,-124.0921624,-0.168424893,-82.23437147,-31.34265337,-126.4311787
51.085,-31.03770224,-125.1458907,-0.169063729,-83.03128257,-31.37618402,-127.0387737
51.58,-30.94792922,-126.2705247,-0.17055795,-83.83169805,-31.33151666,-128.0324329
52.075,-30.89878388,-127.2597332,-0.170196126,-84.6298929,-31.37818383,-128.8524185
52.57,-30.82692093,-128.1093966,-0.171355243,-85.426337,-31.29662864,-129.15015
53.065,-30.80466442,-129.4294012,-0.172418189,-86.23107562,-31.34569022,-130.516145
53.56,-30.69705111,-130.7828467,-0.173234296,-87.03102281,-31.3041873,-131.8051563
54.055,-30.60843578,-131.6848005,-0.174209327,-87.82356174,-31.26521198,-132.2895202
54.55,-30.55695927,-133.0238465,-0.173725305,-88.61627182,-31.2430997,-134.0423498
55.045,-30.48077011,-134.0084235,-0.175676585,-89.43027433,-31.32726058,-133.6977684
55.54,-30.44513061,-134.4123944,-0.177346043,-90.21964844,-31.35121313,-133.924713
56.035,-30.30586198,-136.0221626,-0.178451342,-91.01467342,-31.16491404,-135.384741
56.53,-30.29069987,-137.3237226,-0.178003428,-91.81771856,-31.25830541,-136.9432046
57.025,-30.23357555,-138.1815156,-0.180934458,-92.61541556,-31.33412589,-138.4703154
57.52,-30.21901709,-139.7339441,-0.18119377,-93.40995718,-31.32517939,-138.8604664
58.015,-30.11066437,-139.954024,-0.181866974,-94.21600408,-31.24246107,-138.7198251
58.51,-30.05707894,-141.2422736,-0.182133135,-95.01268586,-31.32320327,-140.1016847
59.005,-30.04372787,-142.1890942,-0.184503054,-95.80928554,-31.22852046,-140.0390359
59.5,-29.91595325,-143.319632,-0.184353985,-96.60048348,-31.36387003,-139.9975968
59.995,-29.98725787,-144.634348,-0.186225723,-97.39961338,-31.43276454,-142.5607076
60.49,-29.856061,-145.4117255,-0.185364946,-98.19352322,-31.39805001,-142.7520306
60.985,-29.79407836,-146.6456497,-0.188565592,-99.00113341,-31.43103247,-143.887851
61.48,-29.80222196,-147.6298253,-0.188782191,-99.78835289,-31.47319039,-144.7491284
61.975,-29.70295822,-149.0319449,-0.188557167,-100.5916228,-31.41038939,-145.630782
62.47,-29.68250036,-150.2696871,-0.189658116,-101.3906254,-31.48845335,-147.4727048
62.965,-29.67103548,-150.9245062,-0.190701522,-102.1889871,-31.50937024,-146.3768979
63.46,-29.56352542,-152.1081628,-0.19167681,-103.0026334,-31.4621282,-148.012534
63.955,-29.5894611,-153.8747568,-0.193282801,-103.7817603,-31.57532177,-150.3696218
64.45,-29.54618567,-154.2479452,-0.193815338,-104.5910552,-31.57440423,-148.8868868
64.945,-29.49305891,-154.9216397,-0.193984561,-105.3784231,-31.70581059,-149.4685309
65.44,-29.44922794,-156.4236322,-0.194883331,-106.1666873,-31.73723263,-151.1225689
65.935,-29.41718656,-157.552319,-0.19658522,-106.9741099,-31.80351829,-152.0128625
66.43,-29.39135434,-158.6880316,-0.197782504,-107.7806278,-31.7291498,-151.9205629
66.925,-29.27924518,-159.5069861,-0.199308461,-108.5720477,-31.83017895,-152.8237964
67.42,-29.31878296,-160.7321684,-0.197796458,-109.3655463,-31.91981309,-153.6709462
67.915,-29.23101055,-161.6255009,-0.200063505,-110.1648835,-31.93946726,-154.8532302
68.41,-29.21044394,-163.1181108,-0.200318806,-110.9654185,-31.92329016,-155.4868861
68.905,-29.23684325,-164.2261648,-0.201360536,-111.7596393,-31.86989863,-156.4109712
69.4,-29.17813662,-165.0731512,-0.202204063,-112.559019,-32.05294565,-156.5766619
69.895,-29.11091083,-166.0556472,-0.202869522,-113.3509238,-32.07010327,-156.7726427
70.39,-29.13046496,-167.3694627,-0.204914728,-114.1548667,-32.16631526,-158.4662359
70.885,-29.0890777,-168.3081593,-0.205330671,-114.9471705,-32.19761111,-158.9248475
71.38,-29.05030267,-169.2059907,-0.20641523,-115.7438856,-32.40167514,-159.071673
71.875,-28.98827981,-170.8949048,-0.206578554,-116.5541665,-32.15425979,-160.6384206
72.37,-29.00184562,-171.3175629,-0.208329806,-117.3489569,-32.44978806,-161.2967373
72.865,-29.03435063,-172.7793013,-0.208023939,-118.1361044,-32.52755147,-161.5409356
73.36,-28.98196028,-173.8108654,-0.209148349,-118.9418697,-32.55937405,-162.9791079
73.855,-28.93554413,-174.9493633,-0.209466524,-119.7328297,-32.52030779,-163.0123868
74.35,-28.94692441,-175.8400814,-0.211371501,-120.5276409,-32.66317528,-163.8737585
74.845,-28.89721263,-177.0986784,-0.212586003,-121.3288665,-32.67042022,-163.7984562
75.34,-28.90025001,-178.1524027,-0.21284917,-122.1225272,-32.87223508,-164.7992239
75.835,-28.87270911,-179.2780995,-0.213035291,-122.9154814,-32.93938214,-166.2868981
76.33,-28.8954584,179.6160985,-0.214417025,-123.7176013,-33.03699252,-167.2437946
76.825,-28.88691325,178.1693209,-0.215540691,-124.5129766,-33.11336152,-167.9222251
77.32,-28.82608171,177.2483745,-0.214607175,-125.3121933,-33.14305487,-167.964404
77.815,-28.84510388,176.1418717,-0.218016012,-126.1089078,-33.34315517,-169.0196881
78.31,-28.84042453,175.1455163,-0.217317816,-126.9029287,-33.48600221,-169.4409033
78.805,-28.80312432,173.5741421,-0.217667627,-127.7066279,-33.37060768,-169.7900753
79.3,-28.84993332,173.0215884,-0.218968234,-128.5015442,-33.53023413,-170.7743301
79.795,-28.83040616,171.6308439,-0.219028134,-129.2958861,-33.82512548,-169.8073724
80.29,-28.81094531,170.9043834,-0.220631878,-130.0930652,-33.84733984,-170.366009
80.785,-28.77642817,169.7486802,-0.220582124,-130.8930312,-34.05836641,-171.8779949
81.28,-28.77802004,168.7004825,-0.222563396,-131.6927374,-34.02695805,-172.6736502
81.775,-28.80095816,167.3194895,-0.223488141,-132.4862426,-34.1580078,-172.4912255
82.27,-28.79142752,165.9978005,-0.223618681,-133.2885275,-34.18661864,-173.6952232
82.765,-28.84563307,164.9928033,-0.224399711,-134.0785626,-34.45674155,-174.2296603
83.26,-28.82566445,164.0373856,-0.225787968,-134.8741116,-34.57421825,-175.1488809
83.755,-28.80606257,162.5151343,-0.226910886,-135.6780608,-34.57241142,-175.4479157
84.25,-28.79736791,161.7240701,-0.226930648,-136.4708277,-34.91006263,-175.9595836
84.745,-28.78807993,160.4140239,-0.228174016,-137.2655608,-35.10927358,-176.3840645
