F/MHz,S11 (dB),S11 (deg),S21 (dB),S21 (deg),S22 (dB),S22 (deg)
10,-35.09941797,5.907455041,-0.142103832,-32.66371844,-34.42315699,-6.564545403
10.495,-34.78024473,3.006362618,-0.146598748,-34.24651845,-34.21665355,-10.31324279
10.99,-34.61212477,0.222515586,-0.15086458,-35.82819733,-34.07206804,-11.27382757
11.485,-34.52926647,-1.949058565,-0.154083077,-37.41423776,-33.68238639,-14.82198569
11.98,-34.25829068,-5.134305677,-0.158363286,-38.99802888,-33.83841915,-15.12768322
12.475,-34.02684319,-8.006157803,-0.161587477,-40.59622715,-33.98813814,-17.90446071
12.97,-34.02877094,-9.218870623,-0.163739295,-42.17183222,-33.39695337,-20.26102314
13.465,-33.97202895,-11.94071905,-0.164569719,-43.7606832,-33.60284423,-20.89308287
13.96,-34.01814701,-14.0842603,-0.170367249,-45.33692045,-33.29203641,-24.10257894
14.455,-33.84646953,-17.06148594,-0.171784296,-46.9138175,-33.5492803,-24.27240916
14.95,-33.71653343,-18.76012316,-0.176620708,-48.50181124,-33.57565807,-28.97161777
15.445,-33.71633073,-22.31629788,-0.176923168,-50.08651616,-33.50220338,-29.17302309
15.94,-33.69000823,-23.35480734,-0.181359802,-51.6678169,-33.20856885,-31.19966459
16.435,-33.43270881,-25.83134921,-0.182964375,-53.26977397,-33.27677591,-34.59541773
16.93,-33.45771601,-28.98879876,-0.186274231,-54.84953811,-33.27189029,-35.99860481
17.425,-33.38782978,-30.52959146,-0.187726629,-56.43305849,-33.49964847,-36.55437338
17.92,-33.32658674,-32.55694401,-0.190784009,-58.00687102,-33.37716525,-39.40352832
18.415,-33.24586983,-34.84496697,-0.194268052,-59.61148317,-33.15060437,-41.63237541
18.91,-33.22592925,-37.72667196,-0.197394179,-61.19324642,-33.42944946,-43.69718424
19.405,-33.13190027,-39.33114459,-0.200753617,-62.77123316,-33.25381219,-45.8040723
19.9,-33.17407005,-42.15426285,-0.202538117,-64.36556205,-33.282683,-46.05075033
20.395,-33.04230756,-44.59347024,-0.206690207,-65.93995541,-33.34256082,-49.42328001
20.89,-33.10483111,-47.07638663,-0.208387116,-67.52604933,-33.61119927,-51.09822501
21.385,-32.9135494,-49.81410929,-0.209762546,-69.10956611,-33.45902225,-54.03370307
21.88,-32.89790371,-51.05346175,-0.214280272,-70.68746973,-33.40179523,-55.01897246
22.375,-32.95331806,-53.45792445,-0.216784088,-72.28191858,-33.38065341,-56.65158745
22.87,-33.01239801,-55.94224369,-0.218695867,-73.8491135,-33.56188048,-58.05188046
23.365,-32.9507455,-58.900777,-0.221232595,-75.43891016,-33.39122605,-61.11845734
23.86,-32.91110961,-60.84307353,-0.222307725,-77.02460427,-33.57980569,-61.80014773
24.355,-32.97558473,-63.21263017,-0.22675361,-78.60745031,-33.62190448,-64.55056129
24.85,-32.88641861,-66.06779523,-0.228647182,-80.17913231,-33.49991673,-67.51781967
25.345,-32.97465905,-68.2634329,-0.231984707,-81.76947579,-33.76271951,-66.60331753
25.84,-32.9271948,-71.20166751,-0.233607318,-83.34471702,-33.68636638,-70.66413671
26.335,-32.97835374,-73.03282962,-0.234658531,-84.92518758,-33.90242317,-70.84444113
26.83,-33.00125303,-75.87443592,-0.237202011,-86.51163393,-33.84469083,-72.78556295
27.325,-33.01399057,-78.29478926,-0.239704436,-88.08310157,-33.80519574,-75.08094216
27.82,-33.02419895,-80.95344839,-0.241832916,-89.66106566,-34.00827125,-77.05998184
28.315,-33.05053396,-83.45303144,-0.244817796,-91.24425929,-33.98800136,-77.90266362
28.81,-33.02561819,-86.12715188,-0.246418814,-92.82648961,-34.10609998,-80.15352164
29.305,-33.14321578,-88.61118373,-0.248916358,-94.40608196,-34.307824,-81.59384205
29.8,-33.10372157,-91.08641193,-0.250647624,-95.98216805,-34.10807435,-83.92491765
30.295,-33.15688633,-93.83426031,-0.254084591,-97.56359576,-34.225509,-85.93831994
30.79,-33.17171424,-96.60028835,-0.255641574,-99.14743725,-34.30554533,-87.50513428
31.285,-33.20216154,-98.74818286,-0.256949162,-100.7173377,-34.3606095,-87.95314749
31.78,-33.32878064,-101.6205258,-0.260144457,-102.299049,-34.54555181,-90.31977333
32.275,-33.31913574,-104.1082024,-0.261410805,-103.8832654,-34.64264482,-92.82603991
32.77,-33.37134588,-106.9662566,-0.264680677,-105.458415,-34.77803866,-94.30637065
33.265,-33.34274342,-109.233124,-0.266602536,-107.0383155,-34.7255753,-96.51887572
33.76,-33.50012633,-112.3089152,-0.268367537,-108.6097975,-35.06579744,-97.28129894
34.255,-33.51415254,-114.8507937,-0.271034088,-110.1931144,-35.15174983,-99.39816545
34.75,-33.56864383,-117.3432239,-0.272318263,-111.7690024,-35.36954501,-100.0663607
35.245,-33.66259646,-119.9472216,-0.274919908,-113.3493603,-35.54573575,-102.1332968
35.74,-33.66668759,-123.0353173,-0.277095056,-114.9303482,-35.50146155,-103.7554237
36.235,-33.79359884,-126.0463857,-0.278580413,-116.5129931,-35.8509072,-104.9641427
36.73,-33.86323163,-128.5574658,-0.280294189,-118.0887147,-35.92171292,-107.3047055
37.225,-33.92019855,-132.0137346,-0.284596654,-119.6628151,-36.31654591,-109.6222554
37.72,-34.05329913,-134.3279449,-0.286077608,-121.2436988,-36.5247613,-110.7673658
38.215,-34.08355251,-137.2317086,-0.287866594,-122.8195408,-36.81161753,-112.1402192
38.71,-34.1305172,-140.1673717,-0.289914713,-124.395666,-36.98138999,-113.2255989
39.205,-34.21238819,-143.3639923,-0.291562636,-125.9752695,-37.15456602,-116.4054552
39.7,-34.2592758,-146.2168072,-0.293386078,-127.5508536,-37.36413329,-117.4184531
40.195,-34.37066872,-149.3994519,-0.295492162,-129.1314679,-37.58745448,-118.5301666
40.69,-34.47821047,-152.0892615,-0.297745846,-130.7075666,-37.83637308,-119.0663138
41.185,-34.49667356,-155.0954939,-0.30068056,-132.282819,-38.29332715,-120.9413091
41.68,-34.5707947,-158.3832898,-0.302523701,-133.8632629,-38.51913022,-124.0235189
42.175,-34.64768227,-161.2290228,-0.30377302,-135.4404638,-38.71716488,-124.6596086
42.67,-34.71404931,-164.4585612,-0.305927223,-137.013767,-38.95493152,-126.3057558
43.165,-34.84211179,-167.265477,-0.30764696,-138.5936478,-39.62303192,-126.9923556
43.66,-34.84534366,-170.9071627,-0.309617863,-140.1729071,-39.80519665,-128.5726597
44.155,-34.91575635,-173.8854613,-0.311517865,-141.7484367,-40.19325768,-129.0677971
44.65,-35.12437242,-176.585872,-0.31327383,-143.3257598,-40.71150163,-131.9267889
45.145,-35.13271917,179.3395159,-0.315785857,-144.9034539,-41.13362789,-132.534001
45.64,-35.24772111,176.6078903,-0.317058936,-146.4826042,-41.63038982,-134.1778093
46.135,-35.3332646,172.4740191,-0.31963516,-148.0607115,-41.89852302,-135.1128246
46.63,-35.32012804,169.657868,-0.321844565,-149.6333198,-42.5915554,-135.1258537
47.125,-35.36561837,166.2139975,-0.323781971,-151.2096951,-43.19564737,-136.3319076
47.62,-35.47278709,162.959833,-0.324368731,-152.7899724,-43.70664013,-138.1259192
48.115,-35.52523548,159.02928,-0.327013357,-154.3665981,-44.2710638,-139.7705332
48.61,-35.63598494,155.5689044,-0.328063771,-155.9415993,-44.78406445,-139.6749988
49.105,-35.70059721,152.6448313,-0.330149306,-157.518622,-45.84404484,-141.6358852
49.6,-35.68758804,149.1219446,-0.332371831,-159.0917518,-47.16346982,-137.9097048
50.095,-35.81050163,145.5024851,-0.333703688,-160.6670337,-47.84913914,-142.300859
50.59,-35.85839189,141.6110509,-0.335689125,-162.2451735,-48.93907425,-139.3142991
51.085,-35.89380944,138.2869889,-0.337107639,-163.8220158,-49.9053913,-137.7040771
51.58,-35.94081562,134.6635672,-0.339539199,-165.397396,-51.4907174,-135.8331179
