F/MHz,S21 (dB),S21 (deg)
10,-0.010866295,-0.697337856
10.5,-0.009302418,-0.783505585
11,-0.012860809,-0.833358379
11.5,-0.005009241,-0.870022674
12,-0.012597595,-0.90834088
12.5,-0.015932436,-0.934672551
13,-0.011667529,-0.971338919
13.5,-0.010383436,-0.998333494
14,-0.015797285,-1.072852138
14.5,-0.015397945,-1.109103869
15,-0.013751327,-1.14569722
15.5,-0.012735454,-1.18456586
16,-0.01263596,-1.203262471
16.5,-0.015335685,-1.234324241
17,-0.015097885,-1.297786589
17.5,-0.014091528,-1.334249184
18,-0.014000072,-1.374228726
18.5,-0.012141968,-1.401408839
19,-0.016493443,-1.444826507
19.5,-0.01429534,-1.488986304
20,-0.011541459,-1.519718381
20.5,-0.016738411,-1.533975076
21,-0.014277816,-1.596906893
21.5,-0.012779914,-1.639705242
22,-0.01622457,-1.656629367
22.5,-0.010936057,-1.70471905
23,-0.01428822,-1.7412161
23.5,-0.014055376,-1.795084521
24,-0.015234661,-1.833839554
24.5,-0.013963983,-1.849983487
25,-0.014656433,-1.893779283
25.5,-0.012090954,-1.931369937
26,-0.013029969,-1.965597059
26.5,-0.016057092,-2.006096079
27,-0.014065905,-2.06165323
27.5,-0.016653488,-2.117903583
28,-0.013373434,-2.135897105
28.5,-0.017309893,-2.171521056
29,-0.014896685,-2.227198311
29.5,-0.017018692,-2.237565914
30,-0.01464963,-2.289906056
30.5,-0.016589319,-2.332435646
31,-0.016600738,-2.362745049
31.5,-0.014059842,-2.418609803
32,-0.018108744,-2.461432344
32.5,-0.018346845,-2.496023637
33,-0.018262741,-2.53270967
33.5,-0.01578942,-2.572275565
34,-0.015502958,-2.607707142
34.5,-0.016335507,-2.638204129
35,-0.014650237,-2.680247217
35.5,-0.015646995,-2.737645386
36,-0.015822528,-2.78174331
36.5,-0.016854189,-2.801608277
37,-0.016190378,-2.847059677
37.5,-0.01655228,-2.876427078
38,-0.017619804,-2.919827324
38.5,-0.018326086,-2.95714517
39,-0.016884036,-2.991105056
39.5,-0.017357647,-3.044579688
40,-0.016391172,-3.071813569
40.5,-0.016400536,-3.129232597
41,-0.017548095,-3.146714212
41.5,-0.015286322,-3.207492098
42,-0.01906758,-3.229654139
42.5,-0.018240867,-3.263474387
43,-0.017944257,-3.310265724
43.5,-0.019437447,-3.337824532
44,-0.017628402,-3.389324308
44.5,-0.018119977,-3.416977918
45,-0.018043685,-3.471914125
