F/MHz,dB (252a),deg (252a),dB (252b),deg (252b),dB (254a),deg (254a),dB (254b),deg (254b),dB (255a),deg (255a),dB (255b),deg (255b),dB (256b),deg (256b)
20,-22.31591532,62.08596157,-20.40903937,41.11711802,-19.74159279,39.01074399,-21.32542084,50.84425926,-21.26047317,45.1168202,-22.50169069,64.12218053,-21.22172718,48.13752878
20.200401,-22.304235,59.05530254,-20.41167166,39.46408307,-19.62204357,37.14265844,-21.28481689,47.79637685,-21.18149443,42.14713558,-22.56660739,61.81365499,-21.18548076,45.15442257
20.400802,-22.24337585,57.39279837,-20.35912145,37.06005902,-19.63508698,34.93364873,-21.25253781,45.14203564,-21.09990685,39.49857991,-22.75572955,57.68009608,-21.0325991,43.37081604
20.601202,-22.31861354,53.66222645,-20.2966754,34.70422151,-19.4987141,33.31836166,-21.26096284,44.28996166,-21.00548451,37.31130468,-22.7305524,55.29817793,-20.93710023,40.5216366
20.801603,-22.24332192,51.80119798,-20.1990485,32.42959165,-19.35312534,31.56828178,-21.09776037,40.16815355,-20.90716429,35.11392564,-22.71933517,51.7651007,-20.92170553,37.34288305
21.002004,-22.23124963,49.11754615,-20.06552641,30.20235934,-19.27834824,29.42078557,-21.05689604,38.44630007,-20.89276989,32.28872743,-22.70196703,48.30619277,-20.91263782,35.48968855
21.202405,-22.33914348,45.92553385,-20.01228987,27.37294185,-19.19398161,27.17837891,-20.96548902,35.63154953,-20.80556382,29.58908485,-22.77232406,45.52267541,-20.87234885,32.42641054
21.402806,-22.13927093,42.32104406,-19.90689124,25.85447534,-19.10059735,25.60193828,-20.87031123,32.60021122,-20.68691597,27.79435098,-22.83066888,41.72471782,-20.94141505,30.00800471
21.603206,-22.21775201,40.93083063,-19.81361873,22.33073617,-18.94461497,22.79882531,-20.9018101,30.76525452,-20.66179702,24.25562529,-22.94951359,39.37302619,-20.66599165,28.13737508
21.803607,-22.23714159,36.35888877,-19.6884881,19.93017563,-18.86599093,20.89613306,-20.87710241,28.71591459,-20.6099918,21.20407419,-22.86464885,35.08603111,-20.712991,24.41070744
22.004008,-22.11761148,33.5011149,-19.67254278,17.95910052,-18.85026142,18.74688359,-20.76632878,25.83697062,-20.41316125,18.52752579,-22.71746587,32.45060116,-20.67764849,22.19776359
22.204409,-22.19732145,30.35813723,-19.68123327,14.88948472,-18.67613284,16.79302897,-20.774114,22.96457135,-20.44839384,16.69023147,-22.86538348,28.58883702,-20.54796725,19.44394688
22.40481,-22.11041608,27.69878024,-19.45836321,12.41873455,-18.6072393,14.47506243,-20.60492394,19.75523477,-20.34206221,13.03022787,-22.78010277,24.50956007,-20.38623775,16.02959773
22.60521,-22.10308378,23.22525629,-19.4217994,9.238748704,-18.52427374,12.22125384,-20.5119642,17.94101737,-20.19980815,10.59141292,-22.7710659,20.46429788,-20.28552132,13.5521052
22.805611,-22.04519338,20.01641116,-19.27205361,6.31666292,-18.42405349,10.39821289,-20.49319995,15.48151133,-20.20384573,8.176586297,-22.80140842,16.3359391,-20.22394396,10.31318237
23.006012,-22.0274926,16.23545936,-19.16099636,4.103788032,-18.34346579,8.161998363,-20.46874637,11.7428297,-20.10752131,4.671173492,-22.62369428,13.54009777,-20.26239958,7.403282656
23.206413,-21.94475568,13.43928738,-19.17714525,1.38249117,-18.30871924,5.490481606,-20.2852486,8.595385549,-20.04066179,2.196951593,-22.66711191,9.334277622,-20.19011817,4.394263757
23.406814,-21.94540961,9.220749409,-19.13221377,-2.259827521,-18.20006809,2.882633844,-20.23908514,6.230518138,-19.92626635,-1.659580212,-22.6021543,3.557142112,-20.06492528,1.017520855
23.607214,-21.83574861,5.532509615,-18.95656834,-4.57996091,-18.09726554,0.327977087,-20.22203141,3.367453281,-19.80652067,-4.580562935,-22.51838379,-0.465850893,-19.96701425,-1.969967404
23.807615,-21.75093687,1.775500449,-18.94181552,-7.87369047,-18.07483483,-2.513390028,-20.09788523,0.424325416,-19.68442622,-7.221127697,-22.35369533,-4.469873504,-19.85724749,-6.066761335
24.008016,-21.61618826,-1.736628847,-18.78326501,-10.63921824,-17.98597523,-4.744070963,-20.03102807,-2.796809461,-19.67501469,-11.01582401,-22.23329322,-10.15474514,-19.86844101,-9.475728991
24.208417,-21.56908046,-5.747841963,-18.74736332,-13.82741585,-17.97800689,-7.535979105,-19.96728623,-6.214754941,-19.65101945,-14.15153922,-22.09552685,-14.00139545,-19.76265766,-12.41051258
24.408818,-21.41868957,-9.694782028,-18.67721088,-17.99221984,-17.84092188,-10.71462355,-19.82432892,-9.521182914,-19.51621143,-17.26568809,-21.90759309,-19.49410007,-19.74589607,-16.67038159
24.609218,-21.53327439,-14.06290681,-18.62503202,-21.03097909,-17.76749648,-13.05610994,-19.84059755,-13.64115232,-19.37369313,-21.48039007,-21.78297494,-24.9853409,-19.47034833,-20.59767662
24.809619,-21.24888066,-18.00049262,-18.48973976,-24.93889838,-17.75139187,-16.83809744,-19.72850773,-17.25536983,-19.33222138,-25.5846493,-21.65766509,-29.12445682,-19.51919533,-24.56988642
25.01002,-21.08822891,-22.74103222,-18.41824722,-28.94124521,-17.71935349,-19.70531261,-19.66265475,-20.53327919,-19.27375748,-28.68223961,-21.4795737,-35.29573435,-19.46641584,-29.03451028
25.210421,-20.98294532,-27.52584084,-18.39384555,-32.65276271,-17.71301399,-23.17343279,-19.61326205,-25.20091231,-19.14719905,-33.12854004,-21.29385201,-40.19211482,-19.40962193,-32.69498245
25.410822,-20.82145977,-32.00176537,-18.43709041,-36.74502687,-17.70424077,-27.05260611,-19.60748328,-29.21116285,-18.99956162,-37.21924925,-21.05591285,-46.59119313,-19.41079077,-37.72904532
25.611222,-20.77232053,-36.98623557,-18.43088536,-40.78973992,-17.67523331,-31.15557851,-19.42084798,-33.23196499,-19.16439617,-41.97217176,-20.97309293,-51.60171864,-19.44285182,-42.79695416
25.811623,-20.52879509,-42.46875417,-18.39842434,-45.34246049,-17.64451151,-35.02779058,-19.43250794,-37.79255103,-19.03451637,-46.67487751,-20.71286893,-57.52934697,-19.36103175,-48.08337341
26.012024,-20.48261451,-47.98654191,-18.44728095,-50.55763129,-17.75516835,-38.96719387,-19.44536058,-42.31788695,-19.01925555,-51.71529897,-20.51398453,-64.26843958,-19.23715802,-52.4680537
26.212425,-20.28489532,-52.83842544,-18.60205946,-55.20711616,-17.78105174,-43.32776894,-19.49098062,-47.12310335,-18.9918058,-56.41512091,-20.39076448,-70.89131015,-19.40649254,-58.57464199
26.412826,-20.32273058,-58.13098987,-18.68835207,-60.86028247,-17.98615327,-47.75620532,-19.48043665,-52.34974675,-19.03828811,-62.19813854,-20.35004939,-77.55052916,-19.45068139,-63.86323279
26.613226,-20.2646024,-64.8935816,-18.84684127,-65.55937765,-18.090906,-53.41729739,-19.59082704,-58.02400234,-19.12286866,-67.4680594,-20.2861698,-85.10104352,-19.49449467,-70.13479226
26.813627,-20.1716032,-70.9651239,-19.07502279,-71.65227918,-18.38680279,-58.47473548,-19.71765795,-64.19768016,-19.24076753,-73.36514198,-20.33977485,-92.98396775,-19.84149368,-76.84097255
27.014028,-20.23725893,-77.03884617,-19.29881388,-77.10902823,-18.78225322,-63.96165715,-19.91326919,-69.22172401,-19.48680228,-79.69607829,-20.39979154,-99.94938983,-20.10842523,-83.00957838
27.214429,-20.23039015,-84.14823507,-19.61220008,-83.09682612,-19.16858473,-69.78149406,-20.1540295,-74.97124897,-19.70338339,-85.68638852,-20.54349152,-107.0456532,-20.46479845,-90.2013385
27.41483,-20.36972422,-90.57445186,-20.10367821,-89.96710256,-19.71520762,-75.32956913,-20.48058969,-80.34999357,-20.03817784,-92.16208683,-20.78547344,-114.9779119,-20.8473822,-97.75385883
27.61523,-20.50470231,-97.69182261,-20.4980183,-95.33617912,-20.430341,-80.47918478,-20.93866804,-87.17615807,-20.38076159,-98.44496444,-21.16310918,-122.0962966,-21.43441409,-103.5242347
27.815631,-20.69366307,-105.040464,-21.16565283,-102.3683911,-21.28044028,-85.4748033,-21.4245339,-92.79709623,-20.88108778,-104.7005903,-21.47875455,-129.4841252,-21.9806681,-110.6986869
28.016032,-21.15412795,-110.8146256,-21.95937788,-106.5080507,-22.14111628,-91.90432834,-21.98406899,-98.71437662,-21.55292585,-111.3531694,-22.03680762,-136.2520969,-22.72880595,-117.8588083
28.216433,-21.50330851,-117.8669233,-22.67631756,-113.6136123,-23.29467993,-96.95820011,-22.59659208,-103.9917887,-22.07787368,-117.7634063,-22.51496914,-142.9728442,-23.53625304,-124.3783626
28.416834,-22.06638489,-123.5855767,-23.5113549,-118.2811158,-24.69526746,-100.0613191,-23.33174698,-108.4752603,-22.78017254,-123.8243447,-23.40890675,-147.9021969,-24.34527525,-130.1939174
28.617234,-22.57528292,-130.3606838,-24.51399116,-123.2798784,-26.16873158,-105.0209726,-24.00069739,-113.473138,-23.71021015,-129.9730744,-23.97082579,-153.0304955,-25.31256413,-135.6399193
28.817635,-23.32364328,-135.5556008,-25.47535712,-127.775663,-27.91612315,-103.3969551,-24.83623114,-116.3511092,-24.63370129,-135.1133015,-24.78880896,-158.3115122,-26.45878357,-141.7176521
29.018036,-23.98066151,-141.7552986,-26.86687226,-131.7869768,-29.57587323,-103.4712472,-25.82439146,-120.4114447,-25.74377074,-138.879302,-25.49965896,-160.5066885,-27.67215727,-145.6664582
29.218437,-24.59015886,-145.0283842,-27.88964999,-133.6596356,-31.2656562,-99.17799371,-26.7295222,-122.2319464,-26.77915968,-143.5239125,-26.5907387,-163.8811571,-29.01080367,-150.6500358
29.418838,-25.40126928,-148.8063163,-29.04410505,-136.2663599,-33.58282934,-91.10384728,-27.65308838,-125.625693,-28.1286616,-147.3534787,-27.23824533,-167.2116431,-30.40218016,-151.7055759
29.619238,-26.12309664,-152.6591387,-30.64230472,-138.4919954,-34.70634296,-78.49260139,-28.34575433,-125.5635935,-29.36446486,-151.0539973,-28.12870541,-167.835084,-31.62116451,-157.9454494
29.819639,-27.14509443,-154.9633051,-31.86664327,-140.1654206,-35.91717861,-65.66257919,-29.36706981,-126.5416777,-30.52548389,-152.9573686,-28.54673289,-168.3684333,-32.8746474,-158.6922304
30.02004,-27.96559433,-156.9189062,-33.38754002,-140.4420975,-34.81973018,-49.50186565,-30.47750757,-126.3678419,-31.88834973,-152.9019401,-29.64692438,-168.9728436,-34.54767077,-158.1447149
30.220441,-28.78299817,-158.5655103,-34.71827494,-137.2344196,-34.42520912,-43.84271278,-30.9956715,-126.0302317,-33.4938466,-152.8866224,-30.20815322,-169.4031004,-36.90890903,-157.9130284
30.420842,-29.60051468,-157.5793442,-36.27653022,-133.2773362,-33.50248531,-37.15820362,-31.63249234,-127.7802043,-34.95854967,-152.3405003,-30.72814375,-167.2836915,-38.4378097,-153.609825
30.621242,-30.31579124,-157.3861185,-37.38344288,-125.7342512,-32.18226544,-32.88223859,-32.48760061,-124.325701,-36.40673544,-148.0265493,-31.47415593,-164.4886715,-41.18579107,-151.3879817
30.821643,-30.97173093,-156.9417601,-38.66195155,-124.1491658,-31.84218848,-29.62924472,-33.41908265,-122.9008703,-37.26232227,-144.7701639,-32.05028577,-163.5295208,-41.85284291,-142.5021266
31.022044,-31.2833931,-157.5130148,-38.79136138,-116.7365664,-30.92905131,-31.09593485,-33.11425571,-121.560857,-39.47100999,-139.5856676,-32.10798141,-162.6255175,-43.2471384,-135.9742935
31.222445,-31.74487314,-155.447001,-40.5074279,-112.4477666,-30.51654944,-30.61389178,-33.78886965,-123.6929856,-40.14278206,-124.9960476,-32.30763455,-156.8487699,-44.40972344,-126.132566
31.422846,-32.13217098,-154.6981415,-40.19111234,-102.5364618,-30.09615536,-30.69440115,-33.81557873,-120.1196641,-39.88401248,-124.9209712,-32.2269574,-157.1424972,-44.87564505,-105.6546646
31.623246,-32.52285289,-150.4161456,-41.20993304,-94.06409401,-29.59971508,-31.6270773,-34.31252714,-116.9588771,-40.36242658,-113.3068027,-32.68966005,-155.1431023,-42.70454742,-107.3575772
31.823647,-32.45985241,-149.7563327,-39.88219494,-92.81554425,-29.74675575,-33.28677653,-34.41325478,-115.9892686,-39.4041654,-104.2788619,-32.34905419,-147.7511167,-42.78626144,-89.40266377
32.024048,-32.99550315,-149.0559749,-41.78022717,-87.04408499,-29.55330071,-34.43226468,-35.18324384,-115.2314184,-39.03409986,-98.779647,-32.6759778,-148.7814972,-43.16825801,-83.14149264
32.224449,-32.89035346,-145.5824684,-39.70023454,-82.70852967,-29.21795623,-35.97830323,-34.82637477,-114.6842915,-38.72212382,-97.92935925,-32.63707265,-151.179215,-40.16493996,-81.52931145
32.42485,-33.16632376,-143.0332469,-41.15036307,-84.93104062,-29.05026523,-34.57836495,-35.05329223,-115.4504104,-39.0259489,-90.90366367,-32.34835282,-149.7038556,-40.61512365,-82.22420929
32.625251,-33.03940471,-146.3955882,-41.27645764,-83.12988372,-29.22453283,-36.74386167,-35.12722717,-113.2890629,-38.4518576,-97.57656687,-32.23891951,-150.5429717,-40.31795876,-90.02451036
32.825651,-32.24692324,-142.0523741,-39.44823921,-82.38781252,-29.07761135,-37.32221072,-35.68967712,-113.6331527,-38.93830605,-87.6528441,-31.76870861,-149.0938839,-39.28536418,-82.17011947
33.026052,-32.6555809,-144.8687781,-39.93268054,-78.51652443,-29.00611292,-36.70877331,-35.43885286,-115.5007582,-38.42483329,-92.94327921,-31.37819302,-149.2389628,-39.68748021,-83.4533627
33.226453,-32.35899729,-144.9337842,-40.21088541,-70.08546635,-29.15917477,-38.87393537,-35.45964578,-112.3541423,-37.69444361,-92.09442926,-31.33817306,-147.7917521,-39.98720068,-82.52239693
33.426854,-32.49190865,-144.2644126,-39.95603339,-78.3031194,-29.1824636,-43.41803043,-35.4268629,-116.5327075,-38.34604907,-95.62073823,-31.68669782,-149.2121023,-39.00010695,-86.03895567
33.627255,-32.58894946,-144.4395363,-39.68826808,-75.98998422,-29.36414244,-42.88524843,-35.54805476,-116.5775965,-37.76214218,-87.60214931,-30.75180506,-148.3939225,-39.31140654,-81.52162406
33.827655,-32.47347374,-145.3743913,-40.04091783,-75.96470541,-29.3264408,-42.43566904,-37.1700405,-114.0202254,-38.40883591,-95.233589,-31.18981856,-150.402627,-39.05269871,-82.56387484
34.028056,-32.72567879,-148.3688421,-40.01518929,-80.90254993,-29.30731915,-44.76788639,-36.743413,-119.3547609,-38.36537237,-94.83748898,-31.20985648,-152.2887103,-38.49436098,-86.5877162
34.228457,-31.97007159,-143.5010887,-41.34871071,-77.15006329,-29.7427753,-43.63720128,-36.17037348,-120.0604597,-37.64401699,-94.30335573,-30.7378773,-150.0055247,-38.70878002,-88.01550213
34.428858,-32.03291559,-146.7498355,-41.48587438,-65.77151383,-29.42614557,-42.77639733,-37.1947815,-119.5637887,-37.99551078,-98.47410216,-30.98300161,-150.5446209,-38.75020094,-89.05440507
34.629259,-32.00297151,-143.3443005,-40.88414006,-71.8936675,-29.64264772,-44.49263197,-37.13620813,-116.3561281,-38.15194066,-95.73255563,-30.73728524,-151.3979065,-39.01691084,-88.4534405
34.829659,-32.01540459,-148.2361203,-40.4163342,-70.67906155,-29.684591,-45.71628126,-37.51382872,-114.9612383,-37.81015055,-99.7684294,-30.71214478,-149.9584203,-38.98306854,-98.71459846
35.03006,-32.61415646,-147.5243387,-42.32757484,-61.26292725,-29.94949515,-46.06240169,-38.06819,-116.1321499,-38.3840365,-99.12162069,-30.96326532,-155.1889282,-37.89684495,-94.21949935
35.230461,-32.49402385,-145.2346416,-42.66788331,-62.86709793,-29.97258403,-45.88918939,-37.84784933,-119.7950846,-38.44507171,-96.11979275,-30.72474054,-155.1490226,-39.20373228,-97.52201443
35.430862,-32.48429119,-151.6646805,-41.89438285,-59.86839488,-30.00712926,-45.74161625,-38.13999717,-113.4080215,-38.19882659,-96.20224469,-30.88035704,-153.5042028,-39.59040506,-102.0027677
35.631263,-32.02066176,-148.3557049,-41.0435181,-52.00922283,-30.31359598,-46.36217206,-39.53292224,-112.608674,-37.72885562,-99.08560613,-30.77653964,-154.849903,-39.50246789,-96.49759384
35.831663,-32.60907755,-149.9448011,-42.13473817,-65.32326792,-30.29573747,-45.14291791,-38.68083721,-120.1127653,-37.93805981,-100.7018316,-30.90766071,-155.218978,-39.57468117,-98.30770488
36.032064,-32.50057633,-153.0542652,-43.85157986,-43.70162519,-30.58340675,-48.39940598,-39.45816204,-119.3245658,-38.45862483,-102.1872739,-30.50241133,-154.7969334,-38.80818381,-98.72931438
