!CSV A.01.01
!Agilent Technologies,N5224A,MY51441013,A.09.40.06
!Agilent N5224A: A.09.40.06
!Date: Monday, July 02, 2018 12:03:24
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG)
10000000,0.0038837614,-0.88745147
10500000,0.00935537,-0.93788165
11000000,0.0021181041,-0.99957836
11500000,0.0017463481,-1.0120049
12000000,-0.0028843784,-1.0698324
12500000,0.0044256868,-1.0894939
13000000,0.0025665038,-1.1601225
13500000,0.0019768788,-1.1849908
14000000,0.002401928,-1.2314661
14500000,-0.0071587092,-1.2720644
15000000,-0.00065523625,-1.2788203
15500000,-0.0016668641,-1.3993666
16000000,-0.00051093189,-1.3827367
16500000,-0.0013893736,-1.4213943
17000000,0.0095149651,-1.5133959
17500000,0.0089816507,-1.4958739
18000000,0.0060848505,-1.6464474
18500000,0.0030659828,-1.6720613
19000000,0.0030479087,-1.7034836
19500000,-0.0011724905,-1.7649722
20000000,0.003555482,-1.80424
20500000,0.0012409406,-1.8705169
21000000,0.0041829613,-1.8781772
21500000,-0.00031658914,-1.9626261
22000000,0.0065195663,-1.9852475
22500000,0.0039951154,-2.0439816
23000000,0.002219362,-2.0849254
23500000,0.0022440339,-2.1674397
24000000,0.0050602593,-2.1790566
24500000,0.0028866029,-2.2408171
25000000,0.00085673714,-2.2520006
25500000,0.0022285352,-2.3179491
26000000,0.0031275351,-2.3496034
26500000,-0.0011111422,-2.4077625
27000000,0.00024053534,-2.4315758
27500000,0.0041049938,-2.4896588
28000000,-0.0013325154,-2.5235868
28500000,-0.0035882257,-2.5473311
29000000,-0.00067875499,-2.6118972
29500000,-0.0014005685,-2.630003
30000000,-0.0009807602,-2.6770647
30500000,-0.001771274,-2.7387366
31000000,-0.0017600718,-2.7591496
31500000,-0.00050485559,-2.8146679
32000000,-0.0014678588,-2.8230975
32500000,-0.0060627535,-2.8935728
33000000,-0.0033192954,-2.9366677
33500000,-0.0013132871,-2.9638484
34000000,-0.0029994764,-3.0242314
34500000,-0.0054827253,-3.0537853
35000000,-0.0047962079,-3.1084809
35500000,-0.0042787986,-3.1397905
36000000,-0.003493032,-3.1905165
36500000,-0.002649731,-3.2228699
37000000,-0.0014063203,-3.2696371
37500000,-0.0024690127,-3.312963
38000000,-0.0041575711,-3.3680902
38500000,-0.0014564706,-3.391994
39000000,-0.0028719225,-3.4450717
