!CSV A.01.01
!Agilent Technologies,N5224A,MY51441013,A.09.40.06
!Agilent N5224A: A.09.40.06
!Date: Monday, July 02, 2018 12:03:56
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG)
10000000,0.033904728,178.71913
10500000,0.018630255,178.57143
11000000,0.018870283,178.56372
11500000,0.029316705,178.59427
12000000,0.017669003,178.44296
12500000,0.032792769,178.42424
13000000,0.027793892,178.45343
13500000,0.023823932,178.31087
14000000,0.01849007,178.31148
14500000,0.022972319,178.23721
15000000,0.028284347,178.19522
15500000,0.026299058,178.14815
16000000,0.026894905,178.07278
16500000,0.023755761,178.07338
17000000,0.022475941,178.02823
17500000,0.019368675,177.94243
18000000,0.017430509,177.92101
18500000,0.01701708,177.83661
19000000,0.018350162,177.82219
19500000,0.017126882,177.77921
20000000,0.017549047,177.68866
20500000,0.015333721,177.65956
21000000,0.01386775,177.60851
21500000,0.015542467,177.59129
22000000,0.013355835,177.52748
22500000,0.012600351,177.48952
23000000,0.014455046,177.38919
23500000,0.016539091,177.36102
24000000,0.0087701529,177.31358
24500000,0.011633134,177.25111
25000000,0.010488577,177.14973
25500000,0.010171115,177.16866
26000000,0.0097145047,177.08937
26500000,0.012342681,177.05206
27000000,0.010986889,176.98029
27500000,0.0085544987,176.94579
28000000,0.01304391,176.89204
28500000,0.0096908724,176.83459
29000000,0.012111385,176.77002
29500000,0.0090802172,176.7242
30000000,0.011330383,176.6777
30500000,0.0068546194,176.65176
31000000,0.0081629287,176.58061
31500000,0.012007333,176.52959
32000000,0.0097352751,176.49678
32500000,0.0078566475,176.41791
33000000,0.0063662003,176.35362
33500000,0.006809413,176.31779
34000000,0.0057746852,176.31163
34500000,0.0042717471,176.22591
35000000,0.0043346668,176.17357
35500000,0.0069173728,176.14465
36000000,0.0032423055,176.10658
36500000,0.0052320794,176.03737
37000000,0.008275819,175.97224
37500000,0.0038721059,175.96515
38000000,0.0041934778,175.86153
38500000,0.0049413471,175.82201
39000000,0.0082060192,175.75835
39500000,0.0030165925,175.73459
40000000,0.00043292492,175.66438
